personid,pageid,name,state,district,uniques_total,uniques_known,uniques_indistrict,posts_total,posts_known,posts_indistrict,comments_total,comments_known,comments_indistrict,postlikes_total,postlikes_known,postlikes_indistrict
300078,22515581608,Politician,"Sen. Bill Nelson [D, FL]",FL,,333,3,3,358,3,3,104,1,1,105,4,4
400441,64137294987,Government official,"Rep. Randy Neugebauer [R, TX-19]",TX,19,395,7,1,278,6,3,313,2,0,539,4,0
412475,118670721538023,Government official,"Rep. Kristi Noem [R, SD-0]",SD,0,329,4,2,237,1,0,407,3,3,753,12,11
400295,61731840657,Politician,"Del. Eleanor Norton [D, DC-0]",DC,0,525,6,0,275,7,0,198,0,0,583,24,0
412409,183541871674897,Government official,"Rep. Richard Nugent [R, FL-5]",FL,5,174,2,2,0,0,0,198,7,7,493,15,15
400297,1693459598,,"Rep. Devin Nunes [R, CA-21]",CA,21,0,0,0,0,0,0,0,0,0,0,0,0
412442,144919278895639,Government official,"Rep. Alan Nunnelee [R, MS-1]",MS,1,250,1,1,4,0,0,404,0,0,969,1,1
412302,20718168936,Government official,"Rep. Pete Olson [R, TX-22]",TX,22,445,8,3,0,0,0,777,24,11,1663,4,3
400301,135136666500416,Government official,"Rep. John Olver [D, MA-1]",MA,1,222,1,0,0,0,0,318,1,0,667,0,0
412383,132985523396856,Government official,"Rep. William Owens [D, NY-23]",NY,23,262,2,2,4,0,0,354,2,2,874,3,3
412443,186908658003781,Government official,"Rep. Steven Palazzo [R, MS-4]",MS,4,292,2,1,0,0,0,306,3,2,707,4,4
400309,303312929155,Government official,"Rep. William Pascrell [D, NJ-8]",NJ,8,260,0,0,0,0,0,168,0,0,412,0,0
412492,161355253917286,Government official,"Sen. Rand Paul [R, KY]",KY,,567,6,2,0,0,0,364,5,1,1165,18,15
400311,6233046685,Politician,"Rep. Ronald Paul [R, TX-14]",TX,14,436,7,0,371,6,0,269,2,0,397,2,0
412303,128558293848160,Government official,"Rep. Erik Paulsen [R, MN-3]",MN,3,220,1,0,1,0,0,140,1,0,333,0,0
400313,180280568662135,Government official,"Rep. Steven Pearce [R, NM-2]",NM,2,460,2,1,0,0,0,638,7,7,1284,58,25
400314,86574174383,Government official,"Rep. Nancy Pelosi [D, CA-8]",CA,8,354,2,0,319,0,0,104,1,0,209,2,0
400315,6726182861,Politician,"Rep. Mike Pence [R, IN-6]",IN,6,724,10,0,270,7,0,241,0,0,860,23,0
412192,86174496459,Government official,"Rep. Ed Perlmutter [D, CO-7]",CO,7,271,3,0,0,0,0,225,6,0,485,1,0
412305,88851604323,Government official,"Rep. Gary Peters [D, MI-9]",MI,9,173,3,1,0,0,0,102,2,0,262,1,1
400316,6595227967,Politician,"Rep. Collin Peterson [D, MN-7]",MN,7,130,1,1,158,1,1,33,0,0,57,0,0
412307,91529332807,Government official,"Rep. Chellie Pingree [D, ME-1]",ME,1,311,2,1,0,0,0,165,0,0,419,2,1
400320,94156528752,Government official,"Rep. Joseph Pitts [R, PA-16]",PA,16,179,2,1,0,0,0,188,1,1,409,9,0
400321,7894694121,Politician,"Rep. Todd Platts [R, PA-19]",PA,19,119,3,2,155,2,2,65,0,0,28,1,0
400652,100000050751226,,"Rep. Ted Poe [R, TX-2]",TX,2,0,0,0,0,0,0,0,0,0,0,0,0
412308,53481427529,Politician,"Rep. Jared Polis [D, CO-2]",CO,2,396,9,1,322,8,1,175,2,1,394,17,0
412431,101965369880683,Government official,"Rep. Mike Pompeo [R, KS-4]",KS,4,261,3,1,0,0,0,228,2,0,698,4,4
400325,45243961073,Politician,"Sen. Robert Portman [R, OH]",OH,,567,4,2,0,0,0,288,3,2,932,3,2
412309,100000080395369,,"Rep. Bill Posey [R, FL-15]",FL,15,0,0,0,0,0,0,0,0,0,0,0,0
400326,8338225975,Politician,"Rep. David Price [D, NC-4]",NC,4,307,3,2,253,1,1,114,3,0,185,5,5
400626,172032960420,Government official,"Rep. Tom Price [R, GA-6]",GA,6,400,7,2,20,0,0,378,2,1,852,12,2
300080,9248638978,Government official,"Sen. Mark Pryor [D, AR]",AR,,242,2,1,5,0,0,124,1,0,338,1,1
412398,119939744741668,Government official,"Rep. Ben Quayle [R, AZ-3]",AZ,3,197,3,2,1,0,0,221,5,2,495,25,1
412331,158963645688,Government official,"Rep. Mike Quigley [D, IL-5]",IL,5,362,9,0,207,14,0,181,2,0,818,57,0
400331,357958026910,Government official,"Rep. Nick Rahall [D, WV-3]",WV,3,45,0,0,0,0,0,10,0,0,101,0,0
400333,7390589055,Government official,"Rep. Charles Rangel [D, NY-15]",NY,15,457,5,0,147,4,0,406,4,0,875,2,0
412393,102449199835273,Government official,"Rep. Tom Reed [R, NY-29]",NY,29,194,1,1,377,3,3,449,2,2,507,1,1
400335,487856380061,Government official,"Rep. Dennis Rehberg [R, MT-0]",MT,0,414,3,0,294,1,0,243,0,0,684,12,0
400660,91504302598,Government official,"Rep. Dave Reichert [R, WA-8]",WA,8,330,7,1,281,6,1,313,4,0,598,13,0
300082,91663082846,Politician,"Sen. Harry Reid [D, NV]",NV,,337,7,0,3,0,0,96,2,0,577,7,0
412462,187639524595278,Government official,"Rep. Jim Renacci [R, OH-16]",OH,16,247,2,0,12,0,0,335,1,0,709,1,0
400337,105434391510,Government official,"Rep. Silvestre Reyes [D, TX-16]",TX,16,356,0,0,1,0,0,262,0,0,830,0,0
412489,157169920997203,Government official,"Rep. Reid Ribble [R, WI-8]",WI,8,277,3,0,4,0,0,225,1,0,510,13,0
412253,196367373427,Government official,"Rep. Laura Richardson [D, CA-37]",CA,37,85,1,0,3,0,0,47,1,0,133,0,0
412432,197737020257085,Politician,"Rep. Cedric Richmond [D, LA-2]",LA,2,71,0,0,22,0,0,22,0,0,81,0,0
412483,167851429918010,Government official,"Rep. Scott Rigell [R, VA-2]",VA,2,457,5,2,245,6,5,291,4,4,753,5,1
412322,10148632367,Politician,"Sen. James Risch [R, ID]",ID,,2,0,0,1,0,0,1,0,0,0,0,0
412415,174136165957653,Government official,"Rep. David Rivera [R, FL-25]",FL,25,200,1,1,103,5,5,184,5,5,635,1,1
300083,205694792808927,Government official,"Sen. Pat Roberts [R, KS]",KS,,289,2,0,0,0,0,193,0,0,411,2,0
412394,174519582574426,Government official,"Rep. Martha Roby [R, AL-2]",AL,2,331,0,0,211,0,0,280,0,0,596,0,0
412310,130725126985966,Politician,"Rep. Phil Roe [R, TN-1]",TN,1,249,3,2,2,0,0,216,1,0,477,4,4
400342,168209963203416,Government official,"Rep. Michael Rogers [R, MI-8]",MI,8,425,3,2,0,0,0,283,0,0,718,8,7
400343,78476240421,Politician,"Rep. Dana Rohrabacher [R, CA-46]",CA,46,349,4,0,340,3,0,222,1,0,365,0,0
412426,1516311155,,"Rep. Todd Rokita [R, IN-4]",IN,4,120,1,0,138,1,0,40,0,0,43,0,0
412311,117697790448,Government official,"Rep. Thomas Rooney [R, FL-16]",FL,16,532,4,2,11,0,0,524,22,21,1176,31,30
400344,1488738651,,"Rep. Ileana Ros-Lehtinen [R, FL-18]",FL,18,242,0,0,0,0,0,71,0,0,326,0,0
412202,118777661469195,Government official,"Rep. Peter Roskam [R, IL-6]",IL,6,310,1,0,15,0,0,269,0,0,580,5,0
412411,186775984680072,Politician,"Rep. Dennis Ross [R, FL-12]",FL,12,184,9,0,279,15,0,281,35,0,456,39,0
400347,139773069370563,Government official,"Rep. Lucille Roybal-Allard [D, CA-34]",CA,34,198,0,0,92,0,0,141,0,0,621,0,0
400348,6460640558,Government official,"Rep. Edward Royce [R, CA-40]",CA,40,432,12,0,271,20,0,281,0,0,874,42,0
412491,178910518800987,Politician,"Sen. Marco Rubio [R, FL]",FL,,356,2,0,256,1,0,96,0,0,216,1,0
412449,177208315676754,Politician,"Rep. Jon Runyan [R, NJ-3]",NJ,3,173,0,0,143,0,0,193,0,0,290,0,0
400351,7123827676,Government official,"Rep. Paul Ryan [R, WI-1]",WI,1,181,3,0,385,19,0,388,3,0,344,2,0
400352,121560497865,Government official,"Rep. Timothy Ryan [D, OH-17]",OH,17,382,3,0,339,4,0,181,0,0,301,5,0
412312,153423912663,Government official,"Del. Gregorio Sablan [D, MP-0]",MP,0,253,0,0,0,0,0,111,0,0,509,0,0
400356,90966961167,Government official,"Rep. Loretta Sanchez [D, CA-47]",CA,47,220,2,0,0,0,0,204,1,0,412,5,0
400357,9124187907,Government official,"Sen. Bernard Sanders [I, VT]",VT,,431,15,1,373,33,1,68,8,0,258,15,0
412212,22429695864,Politician,"Rep. John Sarbanes [D, MD-3]",MD,3,296,2,1,178,2,1,106,1,1,299,3,3
412261,50936151681,Politician,"Rep. Steve Scalise [R, LA-1]",LA,1,387,15,1,342,24,1,174,1,0,872,88,2
400360,160143957118,Government official,"Rep. Janice Schakowsky [D, IL-9]",IL,9,330,23,1,290,29,0,117,6,0,625,117,1
400361,9086721830,Government official,"Rep. Adam Schiff [D, CA-29]",CA,29,512,3,0,189,3,0,326,1,0,937,5,0
412423,128585410538393,Government official,"Rep. Robert Schilling [R, IL-17]",IL,17,299,1,1,324,0,0,370,1,1,491,0,0
412010,108130217090,Government official,"Rep. Jean Schmidt [R, OH-2]",OH,2,116,2,1,0,0,0,70,2,1,354,8,0
412314,70882853544,Politician,"Rep. Aaron Schock [R, IL-18]",IL,18,526,4,1,340,6,1,253,2,2,547,12,0
412315,94978896695,Government official,"Rep. Kurt Schrader [D, OR-5]",OR,5,207,2,2,21,0,0,148,1,1,346,5,5
300087,15771239406,Government official,"Sen. Charles Schumer [D, NY]",NY,,292,6,2,285,11,3,105,2,0,220,2,0
400647,100001432296050,,"Rep. Allyson Schwartz [D, PA-13]",PA,13,6,0,0,0,0,0,2,0,0,4,0,0
412399,150338151681908,Government official,"Rep. David Schweikert [R, AZ-5]",AZ,5,333,6,0,0,0,0,368,12,0,888,30,0
412417,131177916946914,Public figure,"Rep. Austin Scott [R, GA-8]",GA,8,360,2,1,8,0,0,285,3,3,681,2,1
400363,113303673339,Government official,"Rep. David Scott [D, GA-13]",GA,13,239,5,1,341,12,1,212,0,0,428,14,0
400364,123839200978190,Government official,"Rep. Robert Scott [D, VA-3]",VA,3,443,10,2,301,13,1,220,1,1,740,21,1
412471,163207553711385,Government official,"Rep. Tim Scott [R, SC-1]",SC,1,429,3,2,312,2,1,133,3,0,416,6,6
400366,273446508512,Government official,"Rep. José Serrano [D, NY-16]",NY,16,370,1,0,0,0,0,281,0,0,717,1,0
300088,23444159584,Government official,"Sen. Jefferson Sessions [R, AL]",AL,,409,3,0,250,0,0,254,2,0,487,3,0
400367,367963843082,Government official,"Rep. Peter Sessions [R, TX-32]",TX,32,226,3,0,0,0,0,282,1,0,482,8,0
412396,117758198297225,Government official,"Rep. Terri Sewell [D, AL-7]",AL,7,125,0,0,0,0,0,65,0,0,219,0,0
412323,127503767282103,Government official,"Sen. Jeanne Shaheen [D, NH]",NH,,432,4,1,27,0,0,369,6,2,1231,1,0
300089,50850514797,Government official,"Sen. Richard Shelby [R, AL]",AL,,338,10,1,355,12,1,92,4,0,468,7,0
400371,63158229861,Government official,"Rep. Brad Sherman [D, CA-27]",CA,27,208,2,1,2,0,0,149,1,0,292,3,3
400373,123916254317516,Government official,"Rep. John Shimkus [R, IL-19]",IL,19,400,5,1,222,9,8,409,7,6,825,3,0
412225,6216929238,Government official,"Rep. Heath Shuler [D, NC-11]",NC,11,274,2,1,0,0,0,117,3,1,334,0,0
409888,54386677806,Government official,"Rep. William Shuster [R, PA-9]",PA,9,214,4,1,259,3,2,367,1,1,415,5,0
400376,96007744606,Government official,"Rep. Michael Simpson [R, ID-2]",ID,2,111,1,0,1,0,0,89,2,0,145,0,0
412186,81058818750,Government official,"Rep. Albio Sires [D, NJ-13]",NJ,13,101,0,0,0,0,0,79,0,0,134,0,0
400378,82424647700,Government official,"Rep. Louise Slaughter [D, NY-28]",NY,28,382,10,0,294,8,0,220,3,0,465,22,0
412217,5962789983,Politician,"Rep. Adrian Smith [R, NE-3]",NE,3,411,1,0,6,0,0,287,0,0,599,1,0
400381,107736785195,Government official,"Rep. Lamar Smith [R, TX-21]",TX,21,268,3,1,9,0,0,162,24,1,692,3,1
300091,165865453427287,Government official,"Sen. Olympia Snowe [R, ME]",ME,,336,5,1,0,0,0,257,3,0,562,10,1
412408,156234611092438,Government official,"Rep. Steve Southerland [R, FL-2]",FL,2,306,1,0,6,0,0,277,0,0,634,7,0
412259,99332606976,Government official,"Rep. Jackie Speier [D, CA-12]",CA,12,492,3,0,0,0,0,288,1,0,737,5,0
300093,8408030527,Politician,"Sen. Debbie Ann Stabenow [D, MI]",MI,,343,6,1,274,10,1,88,5,0,431,8,0
400387,91309044928,Government official,"Rep. Fortney Stark [D, CA-13]",CA,13,293,8,2,178,4,1,285,17,12,674,27,21
400388,47117734565,Government official,"Rep. Clifford Stearns [R, FL-6]",FL,6,377,19,1,328,28,0,192,2,0,902,84,1
412461,116058275133542,Government official,"Rep. Steve Stivers [R, OH-15]",OH,15,329,6,0,256,8,0,203,2,0,509,24,0
412392,109067049164902,Politician,"Rep. Marlin Stutzman [R, IN-3]",IN,3,326,4,1,201,5,2,356,5,4,779,18,0
412228,6871203036,Politician,"Rep. Betty Sutton [D, OH-13]",OH,13,126,0,0,155,0,0,22,0,0,25,0,0
400355,110685735673141,Government official,"Rep. Linda Sánchez [D, CA-39]",CA,39,104,4,0,0,0,0,48,6,0,192,1,0
400400,393886975960,Government official,"Rep. Lee Terry [R, NE-2]",NE,2,408,8,4,1,0,0,478,60,56,762,7,7
412244,210573031664,Government official,"Sen. Jon Tester [D, MT]",MT,,356,5,0,14,0,0,240,2,0,655,3,0
400402,7259193379,Government official,"Rep. Bennie Thompson [D, MS-2]",MS,2,4,0,0,1,0,0,2,0,0,2,0,0
400403,7109195747,Government official,"Rep. Michael Thompson [D, CA-1]",CA,1,368,5,1,156,5,0,293,2,1,717,6,3
412317,14463006747,Government official,"Rep. Glenn Thompson [R, PA-5]",PA,5,99,0,0,3,0,0,45,0,0,135,0,0
400404,7760165627,Government official,"Rep. William Thornberry [R, TX-13]",TX,13,385,2,0,276,2,0,302,3,0,649,0,0
400546,63002536261,Politician,"Sen. John Thune [R, SD]",SD,,467,2,1,0,0,0,130,0,0,564,8,7
400406,90452932937,Government official,"Rep. Patrick Tiberi [R, OH-12]",OH,12,190,1,0,0,0,0,163,1,0,285,0,0
412405,191428784201721,Government official,"Rep. Scott Tipton [R, CO-3]",CO,3,284,1,0,166,0,0,332,0,0,925,15,0
412319,164036221404,Government official,"Rep. Paul Tonko [D, NY-21]",NY,21,343,2,1,0,0,0,252,0,0,729,2,1
400408,189274047751251,Government official,"Sen. Patrick Toomey [R, PA]",PA,,326,15,4,261,14,8,298,16,15,623,37,8
400409,135539823985,Government official,"Rep. Edolphus Towns [D, NY-10]",NY,10,331,22,0,327,26,0,92,1,0,737,229,0
400411,9275036647,Government official,"Rep. Michael Turner [R, OH-3]",OH,3,460,7,3,236,9,3,274,0,0,705,19,1
412499,9275036647,Government official,"Rep. Robert Turner [R, NY-9]",NY,9,460,7,0,236,9,0,274,0,0,705,19,0
400412,17204170252,Government official,"Sen. Mark Udall [D, CO]",CO,,378,4,3,312,5,5,175,2,2,269,2,1
400413,106433512869,Government official,"Sen. Tom Udall [D, NM]",NM,,396,8,2,314,6,1,148,1,0,368,21,2
400414,212027388827797,Government official,"Rep. Frederick Upton [R, MI-6]",MI,6,427,16,1,302,9,1,136,13,0,763,73,0
400415,109304033877,Government official,"Rep. Christopher Van Hollen [D, MD-8]",MD,8,66,3,0,5,0,0,32,1,0,98,7,0
400416,8037068318,Government official,"Rep. Nydia Velázquez [D, NY-12]",NY,12,128,0,0,0,0,0,51,0,0,125,0,0
400417,118723661514709,Government official,"Rep. Peter Visclosky [D, IN-1]",IN,1,162,2,1,0,0,0,205,30,29,669,0,0
400418,53906687963,Politician,"Sen. David Vitter [R, LA]",LA,,500,2,2,0,0,0,138,0,0,955,2,2
412213,187654104587692,Government official,"Rep. Timothy Walberg [R, MI-7]",MI,7,425,4,1,297,0,0,241,1,1,501,5,0
400419,1295547351,,"Rep. Greg Walden [R, OR-2]",OR,2,70,1,1,0,0,0,27,0,0,56,1,1
412424,126241104108023,Government official,"Rep. Joe Walsh [R, IL-8]",IL,8,300,3,2,144,1,0,121,1,1,349,11,11
412214,6958677033,Politician,"Rep. Timothy Walz [D, MN-1]",MN,1,517,3,1,367,3,1,134,1,0,385,3,0
412321,7935122852,Government official,"Sen. Mark Warner [D, VA]",VA,,451,4,4,308,3,3,323,4,4,419,1,1
400623,88904724121,Government official,"Rep. Debbie Wasserman Schultz [D, FL-20]",FL,20,295,5,1,7,0,0,183,0,0,416,6,2
400422,117483585008,Government official,"Rep. Maxine Waters [D, CA-35]",CA,35,180,2,0,4,0,0,72,0,0,256,5,0
400424,191136754250537,Government official,"Rep. Melvin Watt [D, NC-12]",NC,12,19,0,0,1,0,0,7,0,0,18,0,0
400425,129514917081997,Government official,"Rep. Henry Waxman [D, CA-30]",CA,30,2,0,0,2,0,0,1,0,0,1,0,0
412249,7942857199,Politician,"Sen. Jim Webb [D, VA]",VA,,121,1,1,12,0,0,43,0,0,191,1,1
412410,188572961157305,Public figure,"Rep. Daniel Webster [R, FL-8]",FL,8,75,1,0,0,0,0,76,0,0,161,1,0
412239,72680720883,Government official,"Rep. Peter Welch [D, VT-0]",VT,0,413,6,3,199,11,9,290,4,3,681,4,0
412413,153872224661543,Public figure,"Rep. Allen West [R, FL-22]",FL,22,919,8,0,0,0,0,290,3,0,1951,33,0
400627,71389451419,Government official,"Rep. Lynn Westmoreland [R, GA-3]",GA,3,261,1,0,0,0,0,190,1,0,398,1,0
412247,194172833926853,Government official,"Sen. Sheldon Whitehouse [D, RI]",RI,,237,6,5,113,3,2,114,2,2,332,15,15
400431,91115765425,Government official,"Rep. Edward Whitfield [R, KY-1]",KY,1,126,4,1,0,0,0,75,4,0,209,2,2
400432,158401580882385,Government official,"Sen. Roger Wicker [R, MS]",MS,,331,6,2,375,6,2,95,1,0,192,0,0
400433,70150469414,Government official,"Rep. Addison Wilson [R, SC-2]",SC,2,531,9,0,342,12,0,255,0,0,666,20,0
412412,162327487151626,Government official,"Rep. Frederica Wilson [D, FL-17]",FL,17,60,0,0,1,0,0,14,0,0,73,0,0
412255,38932542633,Government official,"Rep. Rob Wittman [R, VA-1]",VA,1,323,1,1,339,0,0,370,1,1,618,1,1
400435,335759964938,Government official,"Rep. Frank Wolf [R, VA-10]",VA,10,248,3,0,0,0,0,130,10,0,296,3,0
412402,135898413136490,Government official,"Rep. Steve Womack [R, AR-3]",AR,3,285,2,2,0,0,0,390,1,1,850,2,2
412416,172573036140374,Government official,"Rep. Rob Woodall [R, GA-7]",GA,7,112,2,0,1,0,0,86,2,0,183,1,0
400436,147062945319541,Government official,"Rep. Lynn Woolsey [D, CA-6]",CA,6,324,6,2,132,6,2,262,0,0,654,16,5
300100,54787697857,Politician,"Sen. Ron Wyden [D, OR]",OR,,307,4,1,386,12,1,58,0,0,141,1,0
412211,214258646163,Government official,"Rep. John Yarmuth [D, KY-3]",KY,3,509,5,1,266,6,2,272,1,1,765,15,0
412430,154026694650252,Government official,"Rep. Kevin Yoder [R, KS-3]",KS,3,423,7,4,0,0,0,596,5,4,1318,8,6
400440,7476269851,Government official,"Rep. Donald Young [R, AK-0]",AK,0,284,4,3,0,0,0,266,30,30,723,8,7
412428,186203844738421,Government official,"Rep. Todd Young [R, IN-9]",IN,9,279,4,2,181,5,3,275,8,8,629,2,1
